name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Per Result"
"CoordinatesBench<float>/CalcBondsFloat/10/0/0",22391822,29.1674,29.1575,ns,,3.42965e+08,,,,2.91575e-09
"CoordinatesBench<float>/CalcBondsFloat/100/0/0",23911617,29.2992,29.2892,ns,,3.41423e+09,,,,2.92892e-10
"CoordinatesBench<float>/CalcBondsFloat/1000/0/0",2503365,279.44,279.342,ns,,3.57984e+09,,,,2.79342e-10
"CoordinatesBench<float>/CalcBondsFloat/10000/0/0",267236,2670.34,2669.42,ns,,3.74613e+09,,,,2.66942e-10
"CoordinatesBench<float>/CalcBondsFloat/100000/0/0",26212,27095.7,27086.4,ns,,3.69189e+09,,,,2.70864e-10
"CoordinatesBench<float>/CalcBondsFloat/1000000/0/0",1681,408667,408529,ns,,2.44781e+09,,,,4.08529e-10
"CoordinatesBench<float>/CalcBondsFloat/10000000/0/0",71,8.59505e+06,8.59147e+06,ns,,1.16394e+09,,,,8.59147e-10
"CoordinatesBench<double>/CalcBondsDouble/10/0/0",81502458,8.60069,8.59747,ns,,1.16313e+09,,,,8.59747e-10
"CoordinatesBench<double>/CalcBondsDouble/100/0/0",15756417,48.1377,48.12,ns,,2.07814e+09,,,,4.812e-10
"CoordinatesBench<double>/CalcBondsDouble/1000/0/0",1514456,462.383,462.222,ns,,2.16346e+09,,,,4.62222e-10
"CoordinatesBench<double>/CalcBondsDouble/10000/0/0",163730,4276.6,4275.19,ns,,2.33908e+09,,,,4.27519e-10
"CoordinatesBench<double>/CalcBondsDouble/100000/0/0",16077,43600,43584.6,ns,,2.29439e+09,,,,4.35846e-10
"CoordinatesBench<double>/CalcBondsDouble/1000000/0/0",521,1.3646e+06,1.36407e+06,ns,,7.33101e+08,,,,1.36407e-09
"CoordinatesBench<double>/CalcBondsDouble/10000000/0/0",37,1.69332e+07,1.69278e+07,ns,,5.90743e+08,,,,1.69278e-09
"CoordinatesBench<float>/CalcBondsOrthoInBoxFloat/10/0/0",24694340,27.9568,27.9471,ns,,3.57819e+08,,,,2.79471e-09
"CoordinatesBench<float>/CalcBondsOrthoInBoxFloat/100/0/0",14078152,49.3491,49.3169,ns,,2.0277e+09,,,,4.93169e-10
"CoordinatesBench<float>/CalcBondsOrthoInBoxFloat/1000/0/0",1925704,363.645,363.514,ns,,2.75092e+09,,,,3.63514e-10
"CoordinatesBench<float>/CalcBondsOrthoInBoxFloat/10000/0/0",197234,3550.05,3548.88,ns,,2.81779e+09,,,,3.54888e-10
"CoordinatesBench<float>/CalcBondsOrthoInBoxFloat/100000/0/0",19500,36032,36018.4,ns,,2.77636e+09,,,,3.60184e-10
"CoordinatesBench<float>/CalcBondsOrthoInBoxFloat/1000000/0/0",1436,472583,472416,ns,,2.11678e+09,,,,4.72416e-10
"CoordinatesBench<float>/CalcBondsOrthoInBoxFloat/10000000/0/0",76,8.09801e+06,8.09526e+06,ns,,1.23529e+09,,,,8.09526e-10
"CoordinatesBench<double>/CalcBondsOrthoInBoxDouble/10/0/0",47037599,15.0896,15.0828,ns,,6.63009e+08,,,,1.50828e-09
"CoordinatesBench<double>/CalcBondsOrthoInBoxDouble/100/0/0",8923762,89.0593,89.0037,ns,,1.12355e+09,,,,8.90037e-10
"CoordinatesBench<double>/CalcBondsOrthoInBoxDouble/1000/0/0",1035600,676.224,675.995,ns,,1.4793e+09,,,,6.75995e-10
"CoordinatesBench<double>/CalcBondsOrthoInBoxDouble/10000/0/0",110395,6440.84,6438.5,ns,,1.55316e+09,,,,6.4385e-10
"CoordinatesBench<double>/CalcBondsOrthoInBoxDouble/100000/0/0",10759,66051.6,66029.2,ns,,1.51448e+09,,,,6.60292e-10
"CoordinatesBench<double>/CalcBondsOrthoInBoxDouble/1000000/0/0",492,1.49933e+06,1.49881e+06,ns,,6.67194e+08,,,,1.49881e-09
"CoordinatesBench<double>/CalcBondsOrthoInBoxDouble/10000000/0/0",35,1.71009e+07,1.70955e+07,ns,,5.84951e+08,,,,1.70955e-09
"CoordinatesBench<float>/CalcBondsOrthoOutBoxFloat/10/0/0",24934205,28.1166,28.1029,ns,,3.55835e+08,,,,2.81029e-09
"CoordinatesBench<float>/CalcBondsOrthoOutBoxFloat/100/0/0",14289954,48.9885,48.971,ns,,2.04202e+09,,,,4.8971e-10
"CoordinatesBench<float>/CalcBondsOrthoOutBoxFloat/1000/0/0",1943271,362.072,361.948,ns,,2.76283e+09,,,,3.61948e-10
"CoordinatesBench<float>/CalcBondsOrthoOutBoxFloat/10000/0/0",196447,3665.03,3663.75,ns,,2.72944e+09,,,,3.66375e-10
"CoordinatesBench<float>/CalcBondsOrthoOutBoxFloat/100000/0/0",19248,36570.1,36558.2,ns,,2.73537e+09,,,,3.65582e-10
"CoordinatesBench<float>/CalcBondsOrthoOutBoxFloat/1000000/0/0",1052,493992,493837,ns,,2.02496e+09,,,,4.93837e-10
"CoordinatesBench<float>/CalcBondsOrthoOutBoxFloat/10000000/0/0",73,8.46644e+06,8.46381e+06,ns,,1.1815e+09,,,,8.46381e-10
"CoordinatesBench<double>/CalcBondsOrthoOutBoxDouble/10/0/0",45998614,15.3348,15.3272,ns,,6.52435e+08,,,,1.53272e-09
"CoordinatesBench<double>/CalcBondsOrthoOutBoxDouble/100/0/0",8794113,89.727,89.6865,ns,,1.115e+09,,,,8.96865e-10
"CoordinatesBench<double>/CalcBondsOrthoOutBoxDouble/1000/0/0",1023695,683.822,683.612,ns,,1.46282e+09,,,,6.83612e-10
